일,12시-14시,12월,198,7,337,245,0,409,220,2,321
일,14시-16시,전체,2941,27,5071,2925,26,5020,2874,24,4875
일,14시-16시,1월,284,0,510,197,4,326,190,2,312
일,14시-16시,2월,206,2,348,180,0,308,164,4,302
일,14시-16시,3월,209,2,336,238,0,457,281,2,480
일,14시-16시,4월,267,2,439,322,4,534,220,0,345
일,14시-16시,5월,297,2,508,244,2,442,280,1,491
일,14시-16시,6월,206,2,357,249,2,418,268,2,435
일,14시-16시,7월,297,2,551,245,1,440,229,1,417
일,14시-16시,8월,190,4,336,239,4,415,192,3,349
일,14시-16시,9월,224,7,404,229,2,344,316,4,530
일,14시-16시,10월,289,3,499,306,5,526,206,3,360
일,14시-16시,11월,242,1,405,238,1,399,278,2,455
일,14시-16시,12월,230,0,378,238,1,411,250,0,399
일,16시-18시,전체,2741,31,4445,2715,28,4548,2734,26,4427
일,16시-18시,1월,227,0,329,170,0,263,157,4,282
일,16시-18시,2월,153,2,241,188,3,309,174,1,284
일,16시-18시,3월,171,3,263,201,4,315,235,1,395
일,16시-18시,4월,255,6,439,297,6,506,199,2,316
일,16시-18시,5월,354,3,572,224,1,359,248,1,422
일,16시-18시,6월,193,4,332,225,2,393,272,2,438
일,16시-18시,7월,257,1,425,216,0,401,234,1,349
일,16시-18시,8월,217,1,346,197,2,360,210,1,351
일,16시-18시,9월,210,3,335,229,5,365,284,3,482
일,16시-18시,10월,269,4,460,286,1,497,220,4,333
일,16시-18시,11월,229,1,376,220,2,353,262,4,425
일,16시-18시,12월,206,3,327,262,2,427,239,2,350
일,18시-20시,전체,2900,37,4363,2677,38,4142,2567,41,3863
일,18시-20시,1월,308,2,443,263,3,436,206,5,293
일,18시-20시,2월,196,4,286,209,4,353,182,2,276
일,18시-20시,3월,178,4,250,174,1,266,260,6,403
일,18시-20시,4월,196,4,282,230,1,349,182,2,295
일,18시-20시,5월,247,4,385,195,1,306,195,2,294
일,18시-20시,6월,188,0,281,197,1,299,215,2,290
일,18시-20시,7월,247,3,358,207,4,313,166,2,258
일,18시-20시,8월,210,2,336,185,2,290,169,4,259
일,18시-20시,9월,246,1,368,205,7,307,260,2,388
일,18시-20시,10월,360,3,552,302,2,465,243,4,365
